Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult
58:06.2,27.60272993,-88.32991239,10.28827364,353.2968547,543.2204273,321.1900748,43.02,10.04,144.51,1015.11,-1,-1
58:07.2,23.96900465,-70.23570843,47.2564526,386.2092183,556.0475184,322.7975828,53.67,23.38,138.06,1015.09,-1,-1
58:08.2,24.81414967,-74.55976722,51.69708458,398.125296,560.8522029,316.790609,52.47,24.88,136.86,1015.03,-1,-1
58:09.2,28.49674791,-63.8698539,59.31034944,395.3504015,553.7210908,316.061943,49.92,11.69,143.76,1015.05,-1,-1
58:10.2,21.98039232,-66.75404,65.74264308,399.4260834,550.4041782,319.4116268,28.03,5.25,134.46,1015.03,-1,-1
58:11.2,43.11816597,-79.73804638,37.21773943,401.1039186,580.1808288,320.4673309,30.73,32.08,56.51,1015.06,-1,-1
58:12.2,8.848647221,-73.86176602,45.01622426,380.4046527,554.7293923,327.9383747,23.83,37.33,59.81,1015.03,-1,-1
58:13.2,29.69056219,-70.56261527,32.27467348,359.4090018,534.2196502,317.893896,21.74,37.33,53.67,1015.04,-1,-1
58:14.2,23.062668,-74.32021941,34.21632198,362.1027776,534.2565688,317.7717514,19.49,36.43,46.32,1015.08,-1,-1
58:15.2,24.10946656,-76.81872465,30.87409514,360.3021925,533.2633686,316.4570423,19.04,37.03,47.22,1015.07,-1,-1
58:16.2,24.00399421,-78.37667461,27.26329205,356.2954483,531.0388989,316.4176426,19.49,35.68,47.22,1015.07,-1,-1
58:17.2,24.17584049,-78.13883297,27.5865571,356.7458027,531.452553,316.5458508,20.39,36.58,48.87,1015.09,-1,-1
58:18.2,24.22718966,-78.39433145,27.12874367,356.3204986,531.3065,316.7090783,20.39,36.88,48.12,1015.04,-1,-1
58:19.1,24.36130334,-77.70058721,28.34820907,357.4466633,531.7726283,316.6173306,20.84,36.73,48.72,1015.08,-1,-1
58:20.2,24.48622313,-77.57856422,28.19921192,357.0704402,531.5523911,316.7246384,20.84,36.73,48.72,1015.08,-1,-1
