Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult
39:12.9,22.3980718,-83.911816,31.97245711,374.0590302,546.8370994,318.774538,29.68,1.65,107.63,1008.08,1,1
39:13.9,22.39740757,-83.91307211,31.97296789,374.0624045,546.8416925,318.7775244,29.68,1.65,107.63,1008.15,1,1
39:14.9,22.39844729,-83.9133942,31.97219774,374.0629516,546.84273,318.7769083,29.68,1.65,107.63,1008.11,1,1
39:15.9,22.39701902,-83.92033592,31.97354686,374.0847832,546.8761867,318.7995147,29.68,1.65,107.63,1008.07,-1,1
39:16.9,22.36550445,-83.93741183,31.98448827,374.0878213,546.8386459,318.7619149,29.68,1.65,107.63,1008.1,1,1
39:17.9,22.28250557,-83.88361705,32.17737641,374.0300897,546.2032801,317.8037447,29.68,1.65,107.63,1008.07,1,1
39:18.9,22.42199234,-83.96741722,31.9504807,374.1052037,546.8715072,318.7580024,29.68,1.65,107.63,1008.09,1,1
39:19.9,22.40328886,-83.9117656,31.97219521,374.0590234,546.8373512,318.7745284,29.68,1.65,107.63,1008.08,1,1
39:20.9,22.39726547,-83.91410097,31.97311738,374.0655781,546.8465385,318.7806951,29.68,1.65,107.63,1008.05,1,1
39:21.9,22.39759573,-83.91265838,31.97286002,374.0619266,546.8415536,318.778012,29.68,1.65,107.63,1008.03,1,1
39:22.9,22.39753284,-83.90956657,31.97277762,374.0523279,546.8266014,318.7686067,29.68,1.65,107.63,1008.02,1,1
39:23.9,22.39691712,-83.90779296,31.97312129,374.0461959,546.8163732,318.7620868,29.68,1.65,107.63,1008.03,1,1
39:24.9,22.39664503,-83.90705689,31.97325881,374.0433195,546.8113883,318.7586286,29.68,1.65,107.63,1008.03,1,1
39:25.9,22.39624256,-83.90819869,31.97358687,374.0465927,546.8161113,318.7617076,29.68,1.65,107.63,1008.01,-1,1
39:26.9,22.36281785,-83.93019413,31.98603515,374.0631098,546.7974667,318.7360367,29.68,1.65,107.63,1008.04,-1,1
39:27.9,22.24712116,-83.90023071,32.19094389,374.0281199,546.1538143,317.7586143,29.68,1.65,107.63,1008.07,-1,1
39:28.9,22.27148754,-83.95608003,32.16862795,374.0746623,546.1887471,317.7416746,29.68,1.65,107.63,1008.05,-1,1
39:30.0,22.27647455,-83.95869441,32.16868235,374.0836888,546.2034374,317.7516695,29.68,1.65,107.63,1008.07,-1,1
39:30.9,22.27776286,-83.95642181,32.16767761,374.0772273,546.1943776,317.7454014,29.68,1.65,107.63,1008.03,-1,1
39:31.9,22.27651352,-83.95845598,32.16866901,374.0834031,546.2033054,317.7519642,29.68,1.65,107.63,1008.04,1,1
39:32.9,22.31117379,-83.93194671,32.15517944,374.0538035,546.2027918,317.7653272,29.68,1.65,107.63,1008.05,1,1
39:33.9,22.42640813,-83.96158986,31.95052235,374.0863974,546.8415881,318.7388025,29.68,1.65,107.63,1008.04,1,1
39:34.9,22.40143996,-83.91008893,31.97343287,374.0528286,546.8261983,318.7681336,29.68,1.65,107.63,1008.01,1,1
39:35.9,22.39666271,-83.90876066,31.97335826,374.0492782,546.8210837,318.765358,29.68,1.65,107.63,1008.07,1,1
39:36.9,22.39748918,-83.90616734,31.97260372,374.0404201,546.8071701,318.755143,29.68,1.65,107.63,1008.03,1,1
39:37.9,22.39541611,-83.91242476,31.97435642,374.0593838,546.8353834,318.7743,29.68,1.65,107.63,1008.07,-1,1
39:38.9,22.36452915,-83.93011348,31.98480844,374.0632636,546.7987515,318.735798,29.68,1.65,107.63,1008.04,-1,1
39:39.9,22.24627551,-83.90639696,32.19181995,374.0471531,546.182924,317.7776426,29.68,1.65,107.63,1008.08,-1,1
39:40.9,22.2731665,-83.95545919,32.16745585,374.0741509,546.1896424,317.7421271,29.68,1.65,107.63,1008.08,-1,1
39:41.9,22.27666482,-83.95991137,32.16858324,374.0871414,546.2086673,317.7545359,29.68,1.65,107.63,1008.07,-1,1
39:42.9,22.27760045,-83.95939201,32.16793701,374.0866443,546.2090556,317.7550072,29.68,1.65,107.63,1008.07,-1,1
39:43.9,22.2777407,-83.95836499,32.16779308,374.0834729,546.2042006,317.7518354,29.68,1.65,107.63,1008.07,-1,1
39:44.9,22.27747871,-83.95847954,32.16797651,374.0835744,546.2040697,317.7517427,29.68,1.65,107.63,1008.09,-1,1
39:46.1,22.27770082,-83.95860438,32.16780921,374.0837598,546.2043282,317.7515401,29.68,1.65,107.63,1008.05,-1,1
39:47.1,22.27697486,-83.96040983,32.16843535,374.0897331,546.2135153,317.7582882,29.68,1.65,107.63,1008.06,-1,1
39:47.9,22.27817127,-83.95613485,32.167408,374.0769369,546.1944881,317.7456853,29.68,1.65,107.63,1008.03,-1,1
39:48.9,22.27665012,-83.95743271,32.16853616,374.080236,546.1984323,317.7487902,29.68,1.65,107.63,1008.06,-1,1
39:49.9,22.27766657,-83.95442372,32.16766824,374.0708977,546.1843889,317.739064,29.68,1.65,107.63,1008.03,-1,1
39:50.9,22.27612609,-83.95766171,32.16890306,374.0804389,546.1981704,317.7486048,29.68,1.65,107.63,1008.06,-1,1
39:51.9,22.27766609,-83.95442418,32.16766963,374.0708982,546.1843866,317.7390637,29.68,1.65,107.63,1008.06,-1,1
39:53.0,22.27645914,-83.9578491,32.16865242,374.0807171,546.1985576,317.7483008,29.68,1.65,107.63,1008.06,-1,1
39:53.9,22.27724414,-83.95750636,32.16810495,374.0804138,546.1989459,317.7485784,29.68,1.65,107.63,1008.09,-1,1
39:54.9,22.27757748,-83.95769359,32.16785352,374.0806918,546.1993343,317.7482746,29.68,1.65,107.63,1008.08,-1,1
39:55.9,22.27704463,-83.96071321,32.16837211,374.0901144,546.213765,317.7578907,29.68,1.65,107.63,1008.05,-1,1
39:56.9,22.27763664,-83.9591563,32.16793202,374.0863617,546.20891,317.7553002,29.68,1.65,107.63,1008.06,-1,1
39:57.9,22.27790726,-83.95625142,32.16759757,374.0770408,546.1943472,317.7455913,29.68,1.65,107.63,1008.03,1,1
39:58.9,22.31011165,-83.93520077,32.15608085,374.0634354,546.2169346,317.7747545,29.68,1.65,107.63,1008.03,1,1
39:59.9,22.42710556,-83.96010102,31.9500156,374.082744,546.8368347,318.7361073,29.68,1.65,107.63,1008.03,1,1
40:00.9,22.40134199,-83.90809244,31.97342843,374.0465009,546.8162016,318.7617952,29.68,1.65,107.63,1008.08,1,1
40:01.9,22.39705187,-83.90840422,31.97300904,374.046964,546.8168496,318.761289,29.68,1.65,107.63,1008.07,1,1
40:03.0,22.39623806,-83.91347837,31.97381688,374.06273,546.840988,318.7772484,29.68,1.65,107.63,1008.05,1,1
40:03.9,22.39746472,-83.91175512,31.97292736,374.0588674,546.8365224,318.7747419,29.68,1.65,107.63,1008.06,1,1
40:04.9,22.39759493,-83.90987755,31.97273745,374.0527182,546.8268136,318.7682046,29.68,1.65,107.63,1008.04,1,1
40:05.8,22.39670835,-83.91100901,31.97341626,374.0559073,546.8311471,318.7713934,29.68,1.65,107.63,1008.07,1,1
40:06.9,22.39758439,-83.90902737,31.97269288,374.0497408,546.8219576,318.7648389,29.68,1.65,107.63,1008.09,1,1
40:07.9,22.39686148,-83.91246254,31.97332496,374.0596436,546.836518,318.7739662,29.68,1.65,107.63,1008.09,1,1
40:08.9,22.39736557,-83.91417435,31.97306668,374.0656836,546.8466141,318.7805871,29.68,1.65,107.63,1008.09,1,1
40:09.9,22.39788887,-83.91394594,31.9727019,374.0654814,546.8468726,318.780772,29.68,1.65,107.63,1008.06,1,1
40:10.9,22.39755512,-83.91375924,31.97295465,374.065204,546.846482,318.7810755,29.68,1.65,107.63,1008.03,1,1
40:11.9,22.39764282,-83.9104908,31.97277352,374.0554115,546.8315298,318.771864,29.68,1.65,107.63,1008.06,1,1
40:12.9,22.39761227,-83.90793918,31.9726365,374.0464782,546.816967,318.7617676,29.68,1.65,107.63,1008.04,1,1
40:13.9,22.39618298,-83.91123949,31.9737873,374.0561119,546.8308784,318.7712071,29.68,1.65,107.63,1008.06,1,1
40:14.9,22.39747133,-83.90896689,31.97278251,374.0496504,546.8218186,318.7649389,29.68,1.65,107.63,1008.06,1,1
